Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Alex Cejka,59.0,66.42,280.3,66.1,29.25,56.94,71.178,303,0,0,-0.665,-0.138,-0.145,0.259,0.413,344902.0
Graeme McDowell,50.0,66.31,289.5,66.08,29.38,54.01,70.997,485,0,3,0.132,0.197,0.301,0.029,-0.265,1088898.0
Billy Horschel,75.0,66.22,291.0,67.07,29.59,54.03,71.512,197,0,1,-0.024,-0.192,0.31,-0.29,-0.189,533024.0
Woody Austin,59.0,66.21,287.6,66.88,29.02,63.92,70.943,221,0,1,0.037000000000000005,0.487,-0.149,0.588,0.011,354042.0
Kent Jones,76.0,66.13,285.0,66.12,29.68,54.5,71.001,297,0,0,0.028,-0.177,-0.059,-0.008,-0.13699999999999998,360624.0
Colt Knost,80.0,66.02,279.0,62.01,29.12,55.34,71.747,227,0,0,0.271,-0.667,-0.229,-0.672,-0.037000000000000005,296817.0
Brandt Jobe,100.0,65.87,298.5,69.16,29.52,58.72,70.334,803,0,3,-0.015,0.596,0.478,0.262,-0.129,1629764.0
Jason Dufner,78.0,65.81,286.8,66.95,29.44,58.62,70.2,1143,0,5,-0.116,0.7170000000000001,0.515,0.248,0.069,3057860.0
Blake Adams,116.0,65.79,292.1,65.48,28.71,60.63,70.7,616,0,3,0.475,0.411,0.241,-0.453,0.14800000000000002,1100558.0
Michael Connell,76.0,65.79,279.5,63.82,29.21,60.81,71.32600000000002,233,0,0,-0.097,-0.425,-0.393,0.042,0.023,309362.0
Justin Leonard,82.0,65.29,280.1,64.91,29.23,61.97,71.002,328,0,0,-0.11,-0.099,-0.257,-0.07,0.338,952962.0
